competition,date,time,venue,home_team,away_team,home_away
Age 12 Div. 1,2026-07-05,9:00 AM,Bang2,Bangalow Black,Goonellabah,Home
Girls Age 12,2026-07-05,10:30 AM,JSF,Bangalow,Byron Bay Wildcats,Home
Women's League 3,2026-07-05,12:30 PM,JSF,Bangalow,Richmond Rovers,Home
Women's Championship League,2026-07-05,2:30 PM,WP2,Goonellabah,Bangalow,Away
Men's League 7,2026-07-10,8:00 PM,Uki,Uki Pythons,Bangalow,Away
Men's League 4,2026-07-11,1:00 PM,JSF,Bangalow,Lennox Head,Home
Men's League 1,2026-07-11,3:00 PM,JSF,Bangalow,Alstonville,Home
Women's League 3,2026-07-12,12:30 PM,JSF,Bangalow,Casino RSM Cobras,Home
Women's Championship League,2026-07-12,2:30 PM,JSF,Bangalow,Lennox Head,Home
Men's League 4,2026-07-15,6:00 PM,BB1,Byron Bay,Bangalow,Away
Men's League 3,2026-07-15,8:00 PM,BB1,Byron Bay,Bangalow,Away
Women's Championship League,2026-07-17,6:00 PM,Sth Lis,South Lismore,Bangalow,Away
Women's League 3,2026-07-17,7:30 PM,W'burn1,Woodburn,Bangalow,Away
Men's League 3,2026-07-18,1:00 PM,JSF,Bangalow,MBVFC,Home
Men's League 1,2026-07-18,3:00 PM,JSF,Bangalow,Uki Pythons,Home
Men's League 4,2026-07-18,3:00 PM,Potts2,Pottsville Beach,Bangalow,Away
Men's League 7,2026-07-19,2:30 PM,Cas4,Casino RSM Cobras,Bangalow,Away
Men's League 4,2026-07-21,6:00 PM,Saunders 1,Ballina,Bangalow,Away
Men's League 3,2026-07-21,8:00 PM,WP1,Goonellabah,Bangalow,Away
Men's League 1,2026-07-22,8:00 PM,Sth Lis,South Lismore,Bangalow,Away
Girls Age 12,2026-07-24,6:00 PM,SkHd1,Lennox Head Bluesharks,Bangalow,Away
Age 12 Div. 1,2026-07-24,6:00 PM,T1,Lismore Thistles,Bangalow Blue,Away
Girls Age 15,2026-07-24,7:30 PM,T1,Lismore Thistles,Bangalow,Away
Men's League 1,2026-07-24,8:00 PM,Mull1,MBVFC,Bangalow,Away
Age 5 Bos,2026-07-25,9:00 AM,SkHd4,Lennox Blue Sharks,Bangalow,Away
Girls Age 10 Foord,2026-07-25,9:00 AM,Bang9,Bangalow Huskies,Bangalow Dingoes,Home
Girls Age 6 Raso,2026-07-25,9:00 AM,Bang3,Bangalow,Lennox Leopard Sharks,Home
Girls Age 7 Wheeler,2026-07-25,9:00 AM,Bang6,Bangalow Huskies,Byron Bay Leopards,Home
Girls Age 8 Arnold,2026-07-25,9:00 AM,Bang7,Bangalow Huskies,Bangalow Dingoes,Home
Girls Age 9 Kerr,2026-07-25,9:00 AM,Bang8,Bangalow,Ballina Starfish,Home
Age 10 McGree,2026-07-25,9:00 AM,Bang10,Bangalow,Lennox Blue Sharks,Home
Age 6 Burgess,2026-07-25,9:00 AM,Bang5,Bangalow Heelers,Byron Bay Pumas,Home
Age 7 Burgess,2026-07-25,9:00 AM,Bang4,Bangalow Terriers,Byron Bay Cougars,Home
Age 8 Bos,2026-07-25,9:00 AM,SkHd5,Lennox Zebra Sharks,Bangalow Terriers,Away
Age 8 Bos,2026-07-25,9:00 AM,BB3,Byron Bay Pumas,Bangalow Heelers,Away
Age 8 McGree,2026-07-25,9:30 AM,TEB 4,TEBFC Narwhals,Bangalow Beagles,Away
Age 6 Burgess,2026-07-25,10:00 AM,SkHd4,Lennox Copper Sharks,Bangalow Kelpies,Away
Age 7 Burgess,2026-07-25,10:00 AM,Bang3,Bangalow Kelpies,Byron Bay Lions,Home
Age 7 Metcalfe,2026-07-25,10:00 AM,Bang4,Bangalow Heelers,Ballina Dolphins,Home
Age 9 Irvine,2026-07-25,10:00 AM,Mull3,MBVFC Gold,Bangalow Terriers,Away
Age 9 Irvine,2026-07-25,10:00 AM,BB3,Byron Bay Lions,Bangalow Heelers,Away
Girls Age 11 Carpenter,2026-07-25,10:10 AM,Bang10,Bangalow,Shores United,Home
Age 10/11 SAP,2026-07-25,10:10 AM,Bang9,Bangalow 10 SAP,Shores United 11 SAP,Home
Age 15 Div. 2,2026-07-25,11:00 AM,JSF,Bangalow,Woodburn,Home
Age 6 Metcalfe,2026-07-25,11:00 AM,SkHd4,Lennox Hammerheads,Bangalow Terriers,Away
Girls Age 7 Wheeler,2026-07-25,11:20 AM,NBO,Shores United,Bangalow Dingoes,Away
Age 13 Div. 2 North,2026-07-25,11:20 AM,Saunders 1,Ballina,Bangalow,Away
Age 10/11 SAP,2026-07-25,11:20 AM,Bang10,Bangalow 11 SAP,MBVFC 10 SAP,Home
Men's League 3,2026-07-25,1:00 PM,JSF,Bangalow,Lismore Thistles,Home
Men's League 7,2026-07-25,1:00 PM,Saunders 1,Ballina,Bangalow,Away
Age 15 Div. 2,2026-07-26,9:30 AM,CP 1,Alstonville,Bangalow,Away
Girls Age 12,2026-07-26,11:00 AM,JSF,Bangalow,Dunoon United,Home
Age 12 Div. 1,2026-07-26,11:00 AM,Cas4,Casino RSM Cobras,Bangalow Black,Away
Women's League 3,2026-07-26,12:30 PM,JSF,Bangalow,Ballina,Home
Men's League 4,2026-07-26,2:30 PM,NH2,Nimbin Headers,Bangalow,Away
Women's Championship League,2026-07-26,2:30 PM,JSF,Bangalow,Shores United,Home
Men's League 7,2026-07-28,7:00 PM,Uki,Uki Pythons,Bangalow,Away
Age 15 Div. 2,2026-07-31,7:30 PM,T2,Lismore Thistles,Bangalow,Away
Women's League 3,2026-07-31,8:00 PM,Potts1,Pottsville Beach,Bangalow,Away
Age 5 Bos,2026-08-01,9:00 AM,Bang3,Bangalow,Byron Bay Bobcats,Home
Girls Age 10 Foord,2026-08-01,9:00 AM,Bang9,Bangalow Dingoes,Byron Bay Lynx,Home
Girls Age 10 Foord,2026-08-01,9:00 AM,BB5,Byron Bay Leopards,Bangalow Huskies,Away
Girls Age 11 Carpenter,2026-08-01,9:00 AM,BB5,Byron Bay Wildcats,Bangalow,Away
Girls Age 7 Wheeler,2026-08-01,9:00 AM,Bang4,Bangalow Dingoes,Bangalow Huskies,Home
Girls Age 8 Arnold,2026-08-01,9:00 AM,Bang7,Bangalow Dingoes,Shores United,Home
Girls Age 8 Arnold,2026-08-01,9:00 AM,BB3,Byron Bay Wildcats,Bangalow Huskies,Away
Girls Age 9 Kerr,2026-08-01,9:00 AM,GW5,Alstonville Komodos,Bangalow,Away
Age 12 Div. 1,2026-08-01,9:00 AM,CP 1,Alstonville Red,Bangalow Black,Away
Age 13 Div. 2 North,2026-08-01,9:00 AM,Potts1,Pottsville Beach,Bangalow,Away
Age 6 Burgess,2026-08-01,9:00 AM,Bang5,Bangalow Kelpies,Bangalow Heelers,Home
Age 6 Metcalfe,2026-08-01,9:00 AM,Bang6,Bangalow Terriers,Ballina Turtles,Home
Age 8 Bos,2026-08-01,9:00 AM,Bang8,Bangalow Heelers,Lennox Zebra Sharks,Home
Girls Age 6 Raso,2026-08-01,10:00 AM,SkHd4,Lennox Angel Sharks,Bangalow,Away
Age 7 Burgess,2026-08-01,10:00 AM,BB4,Byron Bay Cougars,Bangalow Kelpies,Away
Age 7 Metcalfe,2026-08-01,10:00 AM,GW4,Alstonville Stingrays,Bangalow Heelers,Away
Age 8 McGree,2026-08-01,10:00 AM,Bang7,Bangalow Beagles,Lennox Tiger Sharks,Home
Age 9 Irvine,2026-08-01,10:00 AM,Bang8,Bangalow Heelers,MBVFC Gold,Home
Age 10/11 SAP,2026-08-01,10:10 AM,BB5,Byron Bay 11 SAP,Bangalow 10 SAP,Away
Age 12 Div. 1,2026-08-01,11:00 AM,JSF,Bangalow Blue,Alstonville Black,Home
Age 7 Burgess,2026-08-01,11:00 AM,SkHd4,Lennox Wobbegongs,Bangalow Terriers,Away
Age 8 Bos,2026-08-01,11:00 AM,Bang7,Bangalow Terriers,Lennox Makos,Home
Age 9 Irvine,2026-08-01,11:00 AM,Bang8,Bangalow Terriers,Pottsville Cougars,Home
Age 10/11 SAP,2026-08-01,11:20 AM,Mull2,MBVFC 11 SAP,Bangalow 11 SAP,Away
Age 10 McGree,2026-08-01,11:30 AM,SkHd3,Lennox Wobbegongs,Bangalow,Away
Men's League 3,2026-08-01,1:00 PM,WP1,Goonellabah,Bangalow,Away
Men's League 7,2026-08-01,1:00 PM,JSF,Bangalow,Byron Bay,Home
Men's League 1,2026-08-01,3:00 PM,JSF,Bangalow,Pottsville Beach,Home
Girls Age 12,2026-08-02,9:30 AM,WP1,Goonellabah,Bangalow,Away
Girls Age 15,2026-08-02,11:00 AM,JSF,Bangalow,Alstonville Red,Home
Men's League 4,2026-08-02,12:30 PM,JSF,Bangalow,Nimbin Headers,Home
Women's League 3,2026-08-02,2:30 PM,T1,Lismore Thistles,Bangalow,Away
Women's Championship League,2026-08-02,2:30 PM,JSF,Bangalow,Nimbin Headers,Home
Men's League 3,2026-08-04,6:00 PM,SkHd1,Lennox Head,Bangalow,Away
Men's League 7,2026-08-07,6:00 PM,TEB 1,TEBFC,Bangalow,Away
Age 5 Bos,2026-08-08,9:00 AM,Bang3,Bangalow,Lennox Great White Sharks,Home
Girls Age 10 Foord,2026-08-08,9:00 AM,BB5,Byron Bay Lynx,Bangalow Huskies,Away
Girls Age 6 Raso,2026-08-08,9:00 AM,Bang4,Bangalow,Byron Bay Leopards,Home
Girls Age 8 Arnold,2026-08-08,9:00 AM,NBO,Shores United,Bangalow Huskies,Away
Girls Age 9 Kerr,2026-08-08,9:00 AM,Bang7,Bangalow,Ballina Mermaids,Home
Age 12 Div. 1,2026-08-08,9:00 AM,JSF,Bangalow Blue,Bangalow Black,Home
Age 6 Burgess,2026-08-08,9:00 AM,Bang5,Bangalow Heelers,Lennox Copper Sharks,Home
Age 6 Metcalfe,2026-08-08,9:00 AM,BB4,Byron Bay Lions,Bangalow Terriers,Away
Age 7 Burgess,2026-08-08,9:00 AM,Bang6,Bangalow Kelpies,Bangalow Terriers,Home
Age 8 Bos,2026-08-08,9:00 AM,Bang8,Bangalow Terriers,Byron Bay Panthers,Home
Age 10/11 SAP,2026-08-08,9:00 AM,Bang9,Bangalow 11 SAP,Shores United 11 SAP,Home
Girls Age 7 Wheeler,2026-08-08,10:00 AM,Bang3,Bangalow Huskies,Shores United,Home
Age 6 Burgess,2026-08-08,10:00 AM,SP,Suffolk Park,Bangalow Kelpies,Away
Age 8 Bos,2026-08-08,10:00 AM,Bang7,Bangalow Heelers,Lennox Makos,Home
Age 8 McGree,2026-08-08,10:00 AM,TEB 4,TEBFC Swordfish,Bangalow Beagles,Away
Age 9 Irvine,2026-08-08,10:00 AM,Bang8,Bangalow Heelers,Pottsville Cougars,Home
Girls Age 10 Foord,2026-08-08,10:10 AM,Bang9,Bangalow Dingoes,Pottsville Wildcats,Home
Girls Age 11 Carpenter,2026-08-08,10:10 AM,BB5,Byron Bay Leopards,Bangalow,Away
Age 10 McGree,2026-08-08,10:10 AM,GW2,Alstonville Lorikeets,Bangalow,Away
Age 10/11 SAP,2026-08-08,10:10 AM,Saunders 7,Ballina 11 SAP,Bangalow 10 SAP,Away
Age 13 Div. 2 North,2026-08-08,10:30 AM,JSF,Bangalow,Alstonville Black,Home
Age 15 Div. 2,2026-08-08,11:00 AM,E2,Richmond Rovers,Bangalow,Away
Age 7 Metcalfe,2026-08-08,11:00 AM,SkHd4,Lennox Great White Sharks,Bangalow Heelers,Away
Age 9 Irvine,2026-08-08,11:00 AM,Bang7,Bangalow Terriers,MBVFC Blue,Home
Men's League 3,2026-08-08,1:00 PM,JSF,Bangalow,Burringbar,Home
Men's League 1,2026-08-08,3:00 PM,JSF,Bangalow,South Lismore,Home
Men's League 4,2026-08-08,3:00 PM,Cas2,Casino RSM Cobras,Bangalow,Away
Girls Age 15,2026-08-09,9:30 AM,JSF,Bangalow,Dunoon United,Home
Girls Age 12,2026-08-09,11:00 AM,JSF,Bangalow,Byron Bay Leopards,Home
Women's League 3,2026-08-09,12:30 PM,JSF,Bangalow,Casino RSM Cobras,Home
Women's Championship League,2026-08-09,2:30 PM,JSF,Bangalow,MBVFC,Home
Age 5 Bos,2026-08-15,9:00 AM,SkHd4,Lennox Wobbegongs,Bangalow,Away
Girls Age 10 Foord,2026-08-15,9:00 AM,Bang9,Bangalow Dingoes,Byron Bay Wildcats,Home
Girls Age 6 Raso,2026-08-15,9:00 AM,Mull4,MBVFC Gold,Bangalow,Away
Girls Age 7 Wheeler,2026-08-15,9:00 AM,Bang3,Bangalow Dingoes,Byron Bay Lynx,Home
Girls Age 8 Arnold,2026-08-15,9:00 AM,Bang7,Bangalow Dingoes,Byron Bay Lynx,Home
Girls Age 9 Kerr,2026-08-15,9:00 AM,TEB 4,TEBFC,Bangalow,Away
Age 6 Burgess,2026-08-15,9:00 AM,Bang4,Bangalow Kelpies,Lennox Bull Sharks,Home
Age 6 Metcalfe,2026-08-15,9:00 AM,Bang6,Bangalow Terriers,Lennox Threshers,Home
Age 7 Burgess,2026-08-15,9:00 AM,Bang5,Bangalow Terriers,Lennox Whalers,Home
Age 7 Burgess,2026-08-15,9:00 AM,SkHd4,Lennox Wobbegongs,Bangalow Kelpies,Away
Age 8 Bos,2026-08-15,9:00 AM,BB3,Byron Bay Panthers,Bangalow Heelers,Away
Age 8 McGree,2026-08-15,9:00 AM,Bang8,Bangalow Beagles,Lennox Bull Sharks,Home
Age 10/11 SAP,2026-08-15,9:00 AM,Bang10,Bangalow 10 SAP,Bangalow 11 SAP,Home
Age 8 Bos,2026-08-15,9:30 AM,Eur2,Eureka,Bangalow Terriers,Away
Girls Age 7 Wheeler,2026-08-15,10:00 AM,BB4,Byron Bay Wildcats,Bangalow Huskies,Away
Age 6 Burgess,2026-08-15,10:00 AM,BB4,Byron Bay Tigers,Bangalow Heelers,Away
Age 7 Metcalfe,2026-08-15,10:00 AM,Bang3,Bangalow Heelers,Ballina Mantarays,Home
Age 9 Irvine,2026-08-15,10:00 AM,Potts2,Pottsville Jaguars,Bangalow Terriers,Away
Girls Age 11 Carpenter,2026-08-15,10:10 AM,Bang10,Bangalow,Pottsville Wildcats,Home
Age 10 McGree,2026-08-15,10:10 AM,Bang9,Bangalow,Alstonville Hawks,Home
Age 9 Irvine,2026-08-15,10:10 AM,Mull3,MBVFC Blue,Bangalow Heelers,Away
Girls Age 10 Foord,2026-08-15,11:20 AM,Bang10,Bangalow Huskies,Pottsville Wildcats,Home
Men's League 1,2026-08-15,1:00 PM,Mortimer Oval,Italo Stars,Bangalow,Away
Men's League 3,2026-08-15,1:00 PM,BB2,Byron Bay,Bangalow,Away
Age 5 Bos,2026-08-22,9:00 AM,Bang3,Bangalow,Lennox Megalodons,Home
Girls Age 10 Foord,2026-08-22,9:00 AM,BB5,Byron Bay Wildcats,Bangalow Huskies,Away
Girls Age 6 Raso,2026-08-22,9:00 AM,BB4,Byron Bay Wildcats,Bangalow,Away
Girls Age 7 Wheeler,2026-08-22,9:00 AM,Mull4,MBVFC,Bangalow Dingoes,Away
Girls Age 8 Arnold,2026-08-22,9:00 AM,BB3,Byron Bay Lynx,Bangalow Huskies,Away
Girls Age 8 Arnold,2026-08-22,9:00 AM,Mull3,MBVFC,Bangalow Dingoes,Away
Age 10 McGree,2026-08-22,9:00 AM,Eur,Eureka Koalas,Bangalow,Away
Age 6 Burgess,2026-08-22,9:00 AM,SP,Suffolk Park,Bangalow Heelers,Away
Age 6 Burgess,2026-08-22,9:00 AM,Eur2,Eureka,Bangalow Kelpies,Away
Age 8 Bos,2026-08-22,9:00 AM,Bang7,Bangalow Heelers,Bangalow Terriers,Home
Age 10/11 SAP,2026-08-22,9:00 AM,Bang9,Bangalow 11 SAP,Ballina 11 SAP,Home
Age 6 Metcalfe,2026-08-22,10:00 AM,SkHd4,Lennox Goblin Sharks,Bangalow Terriers,Away
Age 7 Burgess,2026-08-22,10:00 AM,SP,Suffolk Park,Bangalow Terriers,Away
Age 8 McGree,2026-08-22,10:00 AM,BB3,Byron Bay Cougars,Bangalow Beagles,Away
Age 9 Irvine,2026-08-22,10:00 AM,Bang7,Bangalow Terriers,Pottsville Panthers,Home
Age 9 Irvine,2026-08-22,10:00 AM,Bang8,Bangalow Heelers,Pottsville Jaguars,Home
Girls Age 10 Foord,2026-08-22,10:10 AM,Bang9,Bangalow Dingoes,Pottsville Lynx,Home
Girls Age 9 Kerr,2026-08-22,11:00 AM,GW5,Alstonville Blue Tongues,Bangalow,Away
Age 7 Burgess,2026-08-22,11:00 AM,SkHd4,Lennox Whalers,Bangalow Kelpies,Away
Age 7 Metcalfe,2026-08-22,11:00 AM,SkHd4,Lennox Tiger Sharks,Bangalow Heelers,Away
Age 10/11 SAP,2026-08-22,11:20 AM,Potts2,Pottsville Beach 10 SAP,Bangalow 10 SAP,Away
Age 5 Bos,2026-08-29,9:00 AM,BB4,Byron Bay Cougars,Bangalow,Away
Girls Age 10 Foord,2026-08-29,9:00 AM,Mull2,MBVFC,Bangalow Dingoes,Away
Girls Age 10 Foord,2026-08-29,9:00 AM,Potts2,Pottsville Lynx,Bangalow Huskies,Away
Girls Age 7 Wheeler,2026-08-29,9:00 AM,BB4,Byron Bay Leopards,Bangalow Dingoes,Away
Girls Age 7 Wheeler,2026-08-29,9:00 AM,BB4,Byron Bay Lynx,Bangalow Huskies,Away
Girls Age 8 Arnold,2026-08-29,9:00 AM,Mull3,MBVFC,Bangalow Huskies,Away
Age 10 McGree,2026-08-29,9:00 AM,Eur,Eureka Dingoes,Bangalow,Away
Age 6 Burgess,2026-08-29,9:00 AM,BB4,Byron Bay Pumas,Bangalow Kelpies,Away
Age 7 Burgess,2026-08-29,9:00 AM,Bang3,Bangalow Terriers,Byron Bay Tigers,Home
Age 7 Burgess,2026-08-29,9:00 AM,Bang4,Bangalow Kelpies,Suffolk Park,Home
Age 7 Metcalfe,2026-08-29,9:00 AM,Bang5,Bangalow Heelers,TEBFC Jellyfish,Home
Age 8 Bos,2026-08-29,9:00 AM,Bang7,Bangalow Terriers,Shores United Crocs,Home
Age 8 Bos,2026-08-29,9:00 AM,Eur2,Eureka,Bangalow Heelers,Away
Age 8 McGree,2026-08-29,9:00 AM,Bang8,Bangalow Beagles,TEBFC Barracudas,Home
Age 10/11 SAP,2026-08-29,9:30 AM,BB5,Byron Bay 11 SAP,Bangalow 11 SAP,Away
Girls Age 6 Raso,2026-08-29,10:00 AM,NBO,Shores United,Bangalow,Away
Girls Age 8 Arnold,2026-08-29,10:00 AM,Potts2,Pottsville Beach,Bangalow Dingoes,Away
Girls Age 9 Kerr,2026-08-29,10:00 AM,WP3,Goonellabah,Bangalow,Away
Age 6 Burgess,2026-08-29,10:00 AM,SkHd4,Lennox Bull Sharks,Bangalow Heelers,Away
Age 6 Metcalfe,2026-08-29,10:00 AM,Saunders 9,Ballina Bluebottles,Bangalow Terriers,Away
Age 9 Irvine,2026-08-29,10:00 AM,Potts2,Pottsville Panthers,Bangalow Heelers,Away
Age 9 Irvine,2026-08-29,10:00 AM,NBO,Shores United Sharks,Bangalow Terriers,Away
Girls Age 11 Carpenter,2026-08-29,10:10 AM,Potts2,Pottsville Lynx,Bangalow,Away
Age 10/11 SAP,2026-08-29,10:10 AM,Mull2,MBVFC 10 SAP,Bangalow 10 SAP,Away
